#brick_id brick_type brick_x_pos brick_y_pos brick_z_pos brick_yaw_rotated
1 1 0.00237121 -3.46945e-18 0.1 0
2 3 0.470094 -3.46945e-18 0.1 0
3 2 1.39171 -3.46945e-18 0.1 0
4 4 2.90533 -3.46945e-18 0.1 0
5 4 0.75 -3.46945e-18 0.3 0
6 2 2.27483 -3.46945e-18 0.3 0
7 3 3.19214 -3.46945e-18 0.3 0
8 1 3.65326 0.00178281 0.3 0
9 2 0.45 -3.46945e-18 0.5 0
10 1 1.22274 -3.46945e-18 0.5 0
11 3 1.68759 -3.46945e-18 0.5 0
12 4 2.9 -3.46945e-18 0.5 0
13 2 3.2 -3.46945e-18 0.7 0
14 1 2.43019 -3.46945e-18 0.7 0
15 4 1.3638 -3.46945e-18 0.7 0
16 3 0.15 -3.46945e-18 0.7 0

