#brick_id brick_type brick_x_pos brick_y_pos brick_z_pos brick_yaw_rotated
1 1 0 -3.46945e-18 0.1 0
2 3 0.470094 -3.46945e-18 0.1 0
3 2 1.39171 -3.46945e-18 0.1 0
4 4 2.90533 -3.46945e-18 0.1 0
5 4 0.75 -3.46945e-18 0.3 0
6 2 2.27483 -3.46945e-18 0.3 0
7 3 3.19214 -3.46945e-18 0.3 0
8 1 3.65326 -3.46945e-18 0.3 0
9 2 0.45 -3.46945e-18 0.5 0
10 1 1.22274 -3.46945e-18 0.5 0
11 3 1.68759 -3.46945e-18 0.5 0
12 4 2.9 -3.46945e-18 0.5 0
13 2 3.2 -3.46945e-18 0.7 0
14 1 2.43019 -3.46945e-18 0.7 0
15 4 1.3638 -3.46945e-18 0.7 0
16 3 0.15 -3.46945e-18 0.7 0
17 3 0.15 -3.46945e-18 1.5 0
18 4 1.3638 -3.46945e-18 1.5 0
19 1 2.43019 -3.46945e-18 1.5 0
20 2 3.2 -3.46945e-18 1.5 0
21 4 2.9 -3.46945e-18 1.3 0
22 3 1.68759 -3.46945e-18 1.3 0
23 1 1.22274 -3.46945e-18 1.3 0
24 2 0.45 -3.46945e-18 1.3 0
25 1 3.65326 -3.46945e-18 1.1 0
26 3 3.19214 -3.46945e-18 1.1 0
27 2 2.27483 -3.46945e-18 1.1 0
28 4 0.75 -3.46945e-18 1.1 0
29 4 2.90533 -3.46945e-18 0.9 0
30 2 1.39171 -3.46945e-18 0.9 0
31 3 0.470094 -3.46945e-18 0.9 0
32 1 0 -3.46945e-18 0.9 0

